Date,Platform,Creator,Campaign,Test,Variant,OF Link,Spend,Clicks,New Fans,Revenue
2026-06-05,OnlyFinder,Marissa,jun-launch,profile pic A,marissa-pic-a,marissa-pic-a,40,120,9,180
2026-06-05,OnlyFinder,Marissa,jun-launch,profile pic B,marissa-pic-b,marissa-pic-b,40,95,4,60
2026-06-05,Meta,Emma,jun-launch,hook: shy,emma-hook-shy,emma-hook-shy,60,80,6,140
2026-06-05,Meta,Emma,jun-launch,hook: bold,emma-hook-bold,emma-hook-bold,60,150,5,70
2026-06-05,OnlyFinder,Maylee,jun-launch,keyword: gym,maylee-gym,maylee-gym,25,90,11,320
2026-06-05,OnlyFinder,Maylee,jun-launch,keyword: beach,maylee-beach,maylee-beach,25,70,3,40
2026-06-06,OnlyFinder,Marissa,jun-launch,profile pic A,marissa-pic-a,marissa-pic-a,45,130,10,210
2026-06-06,OnlyFinder,Marissa,jun-launch,profile pic B,marissa-pic-b,marissa-pic-b,30,70,2,25
2026-06-06,Meta,Emma,jun-launch,hook: shy,emma-hook-shy,emma-hook-shy,65,85,7,175
2026-06-06,Meta,Emma,jun-launch,hook: bold,emma-hook-bold,emma-hook-bold,50,120,4,55
2026-06-06,OnlyFinder,Maylee,jun-launch,keyword: gym,maylee-gym,maylee-gym,30,100,13,360
2026-06-06,OnlyFinder,Maylee,jun-launch,keyword: beach,maylee-beach,maylee-beach,20,60,2,30
