"UNCVRD — WEEKLY HISTORY  (every week saved · Fri → Thu) Creator ▸ Week (Fri start)","All Clicks","Fans","Spend","CPC","CVR","Attributed Revenue","ROAS","Agency Profit"
"2026-06-12","2,224","517","$0.00","$0.00","23.2%","$1,697.32","","$1,697.32"
"2026-06-05","820","189","$0.00","$0.00","23.0%","$347.17","","$347.17"
"2026-05-29","6","0","$0.00","$0.00","0.0%","$14.40","","$14.40"
"2026-05-22","0","0","$0.00","","","$0.00","","$0.00"
"2026-05-15","0","0","$0.00","","","$0.00","","$0.00"
"2026-05-08","0","0","$0.00","","","$0.00","","$0.00"
"2026-05-01","0","0","$0.00","","","$0.00","","$0.00"
"2026-04-24","0","0","$0.00","","","$0.00","","$0.00"
"2026-04-17","0","0","$0.00","","","$0.00","","$0.00"
"2026-04-10","0","0","$0.00","","","$0.00","","$0.00"
"2026-04-03","0","0","$0.00","","","$0.00","","$0.00"
"2026-03-27","0","0","$0.00","","","$0.00","","$0.00"
