"UNCVRD — WEEKLY STATS","","","","","","","","","","","","",""
"From ▸","2026-06-20","","2026-06-28","","","","","","","","","",""
"Sheet ID ▸","","","","","","","","","","","","",""
"Metrics i need to know","","","","","","","","","","","","",""
"Meta","0","0","$0.00","","$0.75","","$0.00","","","","","","$0.00"
"OnlyFinder","1,890","354","$1,417.50","$4.00","$0.75","18.7%","$452.58","$1.06","$1.14","$1.14","$1.14","0.32x","-$964.92"
"OnlyGuider","3","1","$2.25","$2.25","$0.75","33.3%","$0.00","$0.00","$0.00","$0.00","$0.00","0.00x","-$2.25"
"OnlySeeker","0","0","$0.00","","$0.75","","$0.00","","","","","","$0.00"
"OnlyTraffic","0","0","$0.00","","$0.75","","$0.00","","","","","","$0.00"
"TOTAL","1,893","355","$1,419.75","$4.00","$0.75","18.8%","$452.58","$1.05","$1.14","$1.14","$1.14","0.32x","-$967.17"
"DAY BY DAY  (this week + the next 7 days, by platform — for the chosen creator. Type the Relevance score in yourself.)","","","","","","","","","","","","",""
"Day / Platform","","","","","","","","","","","","",""
"Sat, Jun 20","254","49","$0.00","$0.00","$0.00","19.3%","$0.00","$0.00","","$0.00","","",""
"    Meta","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlyFinder","254","49","$0.00","$0.00","$0.00","19.3%","$0.00","$0.00","","$0.00","","",""
"    OnlyGuider","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlySeeker","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlyTraffic","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"Sun, Jun 21","259","71","$0.00","$0.00","$0.00","27.4%","$81.54","$1.15","","$81.54","","",""
"    Meta","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlyFinder","259","71","$0.00","$0.00","$0.00","27.4%","$81.54","$1.15","","$81.54","","",""
"    OnlyGuider","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlySeeker","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlyTraffic","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"Mon, Jun 22","248","45","$0.00","$0.00","$0.00","18.1%","$48.77","$1.08","","$48.77","","",""
"    Meta","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlyFinder","248","45","$0.00","$0.00","$0.00","18.1%","$48.77","$1.08","","$48.77","","",""
"    OnlyGuider","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlySeeker","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlyTraffic","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"Tue, Jun 23","229","35","$0.00","$0.00","$0.00","15.3%","$40.77","$1.16","","$40.77","","",""
"    Meta","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlyFinder","229","35","$0.00","$0.00","$0.00","15.3%","$40.77","$1.16","","$40.77","","",""
"    OnlyGuider","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlySeeker","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlyTraffic","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"Wed, Jun 24","226","39","$0.00","$0.00","$0.00","17.3%","$40.80","$1.05","","$40.80","","",""
"    Meta","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlyFinder","225","39","$0.00","$0.00","$0.00","17.3%","$40.80","$1.05","","$40.80","","",""
"    OnlyGuider","1","0","$0.00","","$0.00","0.0%","$0.00","","","$0.00","","",""
"    OnlySeeker","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlyTraffic","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"Thu, Jun 25","182","31","$0.00","$0.00","$0.00","17.0%","$20.80","$0.67","","$20.80","","",""
"    Meta","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlyFinder","182","31","$0.00","$0.00","$0.00","17.0%","$20.80","$0.67","","$20.80","","",""
"    OnlyGuider","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlySeeker","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlyTraffic","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"Fri, Jun 26","142","29","$0.00","$0.00","$0.00","20.4%","$27.18","$0.94","","$27.18","","",""
"    Meta","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlyFinder","142","29","$0.00","$0.00","$0.00","20.4%","$27.18","$0.94","","$27.18","","",""
"    OnlyGuider","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlySeeker","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlyTraffic","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"Sat, Jun 27","169","32","$0.00","$0.00","$0.00","18.9%","$151.95","$4.75","","$151.95","","",""
"    Meta","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlyFinder","169","32","$0.00","$0.00","$0.00","18.9%","$151.95","$4.75","","$151.95","","",""
"    OnlyGuider","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlySeeker","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlyTraffic","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"Sun, Jun 28","184","24","$0.00","$0.00","$0.00","13.0%","$40.77","$1.70","","$40.77","","",""
"    Meta","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlyFinder","182","23","$0.00","$0.00","$0.00","12.6%","$40.77","$1.77","","$40.77","","",""
"    OnlyGuider","2","1","$0.00","$0.00","$0.00","50.0%","$0.00","$0.00","","$0.00","","",""
"    OnlySeeker","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlyTraffic","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"Mon, Jun 29","210","41","$0.00","$0.00","$0.00","19.5%","$27.18","$0.66","","$27.18","","",""
"    Meta","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlyFinder","209","40","$0.00","$0.00","$0.00","19.1%","$27.18","$0.68","","$27.18","","",""
"    OnlyGuider","1","1","$0.00","$0.00","$0.00","100.0%","$0.00","$0.00","","$0.00","","",""
"    OnlySeeker","0","0","$0.00","","","","$0.00","","","$0.00","","",""
"    OnlyTraffic","0","0","$0.00","","","","$0.00","","","$0.00","","",""
