"UNCVRD — WEEKLY STATS","","","","","","","","","",""
"From ▸","2026-06-12","","2026-06-18","","","","","","",""
"Sheet ID ▸","","","","","","","","","",""
"Metrics i need to know","","","","","","","","","ROAS",""
"Meta","156","19","$0.00","$0.00","$0.00","12.2%","$0.00","$0.00","","$0.00"
"OnlyFinder","1,098","261","$0.00","$0.00","$0.00","23.8%","$755.13","$2.89","","$755.13"
"OnlyGuider","383","110","$0.00","$0.00","$0.00","28.7%","$228.73","$2.08","","$228.73"
"OnlySeeker","78","29","$0.00","$0.00","$0.00","37.2%","$54.38","$1.88","","$54.38"
"OnlyTraffic","156","28","$0.00","$0.00","$0.00","17.9%","$121.58","$4.34","","$121.58"
"TOTAL","1,871","447","$0.00","$0.00","$0.00","23.9%","$1,159.82","$2.59","","$1,159.82"
"DAY BY DAY  (each day of the week, broken down by platform — for the chosen creator)","","","","","","","","","",""
"Day / Platform","","","","","","","","","ROAS",""
"Fri, Jun 12","195","46","$0.00","$0.00","$0.00","23.6%","$45.60","$0.99","","$45.60"
"    Meta","23","1","$0.00","$0.00","$0.00","4.3%","$0.00","$0.00","","$0.00"
"    OnlyFinder","138","36","$0.00","$0.00","$0.00","26.1%","$45.60","$1.27","","$45.60"
"    OnlyGuider","34","9","$0.00","$0.00","$0.00","26.5%","$0.00","$0.00","","$0.00"
"    OnlySeeker","0","0","$0.00","","","","$0.00","","","$0.00"
"    OnlyTraffic","0","0","$0.00","","","","$0.00","","","$0.00"
"Sat, Jun 13","177","38","$0.00","$0.00","$0.00","21.5%","$47.19","$1.24","","$47.19"
"    Meta","22","2","$0.00","$0.00","$0.00","9.1%","$0.00","$0.00","","$0.00"
"    OnlyFinder","128","29","$0.00","$0.00","$0.00","22.7%","$47.19","$1.63","","$47.19"
"    OnlyGuider","27","7","$0.00","$0.00","$0.00","25.9%","$0.00","$0.00","","$0.00"
"    OnlySeeker","0","0","$0.00","","","","$0.00","","","$0.00"
"    OnlyTraffic","0","0","$0.00","","","","$0.00","","","$0.00"
"Sun, Jun 14","249","61","$0.00","$0.00","$0.00","24.5%","$76.00","$1.25","","$76.00"
"    Meta","22","2","$0.00","$0.00","$0.00","9.1%","$0.00","$0.00","","$0.00"
"    OnlyFinder","178","41","$0.00","$0.00","$0.00","23.0%","$60.80","$1.48","","$60.80"
"    OnlyGuider","38","17","$0.00","$0.00","$0.00","44.7%","$15.20","$0.89","","$15.20"
"    OnlySeeker","11","1","$0.00","$0.00","$0.00","9.1%","$0.00","$0.00","","$0.00"
"    OnlyTraffic","0","0","$0.00","","","","$0.00","","","$0.00"
"Mon, Jun 15","249","70","$0.00","$0.00","$0.00","28.1%","$305.54","$4.36","","$305.54"
"    Meta","17","1","$0.00","$0.00","$0.00","5.9%","$0.00","$0.00","","$0.00"
"    OnlyFinder","168","47","$0.00","$0.00","$0.00","28.0%","$146.37","$3.11","","$146.37"
"    OnlyGuider","44","13","$0.00","$0.00","$0.00","29.5%","$159.17","$12.24","","$159.17"
"    OnlySeeker","20","9","$0.00","$0.00","$0.00","45.0%","$0.00","$0.00","","$0.00"
"    OnlyTraffic","0","0","$0.00","","","","$0.00","","","$0.00"
"Tue, Jun 16","310","84","$0.00","$0.00","$0.00","27.1%","$427.98","$5.10","","$427.98"
"    Meta","24","2","$0.00","$0.00","$0.00","8.3%","$0.00","$0.00","","$0.00"
"    OnlyFinder","134","39","$0.00","$0.00","$0.00","29.1%","$400.78","$10.28","","$400.78"
"    OnlyGuider","83","28","$0.00","$0.00","$0.00","33.7%","$0.00","$0.00","","$0.00"
"    OnlySeeker","22","9","$0.00","$0.00","$0.00","40.9%","$27.20","$3.02","","$27.20"
"    OnlyTraffic","47","6","$0.00","$0.00","$0.00","12.8%","$0.00","$0.00","","$0.00"
"Wed, Jun 17","479","101","$0.00","$0.00","$0.00","21.1%","$162.35","$1.61","","$162.35"
"    Meta","41","10","$0.00","$0.00","$0.00","24.4%","$0.00","$0.00","","$0.00"
"    OnlyFinder","226","42","$0.00","$0.00","$0.00","18.6%","$0.00","$0.00","","$0.00"
"    OnlyGuider","111","25","$0.00","$0.00","$0.00","22.5%","$40.77","$1.63","","$40.77"
"    OnlySeeker","13","6","$0.00","$0.00","$0.00","46.2%","$0.00","$0.00","","$0.00"
"    OnlyTraffic","88","18","$0.00","$0.00","$0.00","20.5%","$121.58","$6.75","","$121.58"
"Thu, Jun 18","212","47","$0.00","$0.00","$0.00","22.2%","$95.16","$2.02","","$95.16"
"    Meta","7","1","$0.00","$0.00","$0.00","14.3%","$0.00","$0.00","","$0.00"
"    OnlyFinder","126","27","$0.00","$0.00","$0.00","21.4%","$54.39","$2.01","","$54.39"
"    OnlyGuider","46","11","$0.00","$0.00","$0.00","23.9%","$13.59","$1.24","","$13.59"
"    OnlySeeker","12","4","$0.00","$0.00","$0.00","33.3%","$27.18","$6.80","","$27.18"
"    OnlyTraffic","21","4","$0.00","$0.00","$0.00","19.0%","$0.00","$0.00","","$0.00"
