"UNCVRD — WEEKLY STATS","","","","","","","","","",""
"From ▸","2026-06-12","","2026-06-18","","","","","","",""
"Sheet ID ▸","","","","","","","","","",""
"Metrics i need to know","","","","","","","","","ROAS",""
"Meta","0","0","$0.00","","","","$0.00","","","$0.00"
"OnlyFinder","1,061","254","$0.00","$0.00","$0.00","23.9%","$642.37","$2.53","","$642.37"
"OnlyGuider","383","110","$0.00","$0.00","$0.00","28.7%","$228.73","$2.08","","$228.73"
"OnlySeeker","78","29","$0.00","$0.00","$0.00","37.2%","$54.38","$1.88","","$54.38"
"TOTAL","1,678","421","$0.00","$0.00","$0.00","25.1%","$1,047.06","$2.49","","$1,047.06"
"DAY BY DAY  (each day of the week, broken down by platform — for the chosen creator)","","","","","","","","","",""
"Day / Platform","","","","","","","","","ROAS",""
"Fri, Jun 12","154","40","$0.00","$0.00","$0.00","26.0%","$32.00","$0.80","","$32.00"
"    Meta","0","0","$0.00","","","","$0.00","","","$0.00"
"    OnlyFinder","120","31","$0.00","$0.00","$0.00","25.8%","$32.00","$1.03","","$32.00"
"    OnlyGuider","34","9","$0.00","$0.00","$0.00","26.5%","$0.00","$0.00","","$0.00"
"    OnlySeeker","0","0","$0.00","","","","$0.00","","","$0.00"
"Sat, Jun 13","145","34","$0.00","$0.00","$0.00","23.4%","$47.19","$1.39","","$47.19"
"    Meta","0","0","$0.00","","","","$0.00","","","$0.00"
"    OnlyFinder","118","27","$0.00","$0.00","$0.00","22.9%","$47.19","$1.75","","$47.19"
"    OnlyGuider","27","7","$0.00","$0.00","$0.00","25.9%","$0.00","$0.00","","$0.00"
"    OnlySeeker","0","0","$0.00","","","","$0.00","","","$0.00"
"Sun, Jun 14","224","59","$0.00","$0.00","$0.00","26.3%","$76.00","$1.29","","$76.00"
"    Meta","0","0","$0.00","","","","$0.00","","","$0.00"
"    OnlyFinder","175","41","$0.00","$0.00","$0.00","23.4%","$60.80","$1.48","","$60.80"
"    OnlyGuider","38","17","$0.00","$0.00","$0.00","44.7%","$15.20","$0.89","","$15.20"
"    OnlySeeker","11","1","$0.00","$0.00","$0.00","9.1%","$0.00","$0.00","","$0.00"
"Mon, Jun 15","231","69","$0.00","$0.00","$0.00","29.9%","$255.96","$3.71","","$255.96"
"    Meta","0","0","$0.00","","","","$0.00","","","$0.00"
"    OnlyFinder","167","47","$0.00","$0.00","$0.00","28.1%","$96.79","$2.06","","$96.79"
"    OnlyGuider","44","13","$0.00","$0.00","$0.00","29.5%","$159.17","$12.24","","$159.17"
"    OnlySeeker","20","9","$0.00","$0.00","$0.00","45.0%","$0.00","$0.00","","$0.00"
"Tue, Jun 16","285","82","$0.00","$0.00","$0.00","28.8%","$378.40","$4.61","","$378.40"
"    Meta","0","0","$0.00","","","","$0.00","","","$0.00"
"    OnlyFinder","133","39","$0.00","$0.00","$0.00","29.3%","$351.20","$9.01","","$351.20"
"    OnlyGuider","83","28","$0.00","$0.00","$0.00","33.7%","$0.00","$0.00","","$0.00"
"    OnlySeeker","22","9","$0.00","$0.00","$0.00","40.9%","$27.20","$3.02","","$27.20"
"Wed, Jun 17","436","91","$0.00","$0.00","$0.00","20.9%","$162.35","$1.78","","$162.35"
"    Meta","0","0","$0.00","","","","$0.00","","","$0.00"
"    OnlyFinder","224","42","$0.00","$0.00","$0.00","18.8%","$0.00","$0.00","","$0.00"
"    OnlyGuider","111","25","$0.00","$0.00","$0.00","22.5%","$40.77","$1.63","","$40.77"
"    OnlySeeker","13","6","$0.00","$0.00","$0.00","46.2%","$0.00","$0.00","","$0.00"
"Thu, Jun 18","203","46","$0.00","$0.00","$0.00","22.7%","$95.16","$2.07","","$95.16"
"    Meta","0","0","$0.00","","","","$0.00","","","$0.00"
"    OnlyFinder","124","27","$0.00","$0.00","$0.00","21.8%","$54.39","$2.01","","$54.39"
"    OnlyGuider","46","11","$0.00","$0.00","$0.00","23.9%","$13.59","$1.24","","$13.59"
"    OnlySeeker","12","4","$0.00","$0.00","$0.00","33.3%","$27.18","$6.80","","$27.18"
