Caption,Channel,Angle / niche,Fits creator,Added,Added by,Times used,Last used,Days since used,Clicks,Subs,Status,Notes
telling everyone about [name] because you need to see this,Feed,introduction,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
the way she does it... no one else comes close 💕,Feed,confident prediction,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
fresh to the platform and already a favourite of mine,Feed,early access,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's literally 18 and this talented? unfair 😏,Feed,just turned 18,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
can't stop thinking about her content tbh,Feed,curiosity gap,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"[name] just gets it, you'll see what I mean",Feed,introduction,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
one of those creators that actually deserves the hype,Feed,personal endorsement,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she turned 18 last week and I'm already obsessed 🌸,Feed,just turned 18,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"if you like what I do, her stuff will break your brain 💗",Feed,confident prediction,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
go follow [name] right now trust me,Story,personal endorsement,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
her brain is insane 👀,Story,introduction,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
why is no one talking about her yet,Story,curiosity gap,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she literally just turned 18 and wow,Story,just turned 18,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] has me in a chokehold 💕,Story,early access,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
this is the one you're gonna kick yourself for missing,Story,confident prediction,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's different I'm telling you 🤭,Story,introduction,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
18 and already doing this? criminal,Story,just turned 18,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
go see what the fuss is about 🌷,Story,curiosity gap,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
vouching for her so hard right now,Story,personal endorsement,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
ok so [name] is actually insane you have to go look,MM,personal endorsement,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
not to be dramatic but I think she's the one,MM,confident prediction,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
telling my people about [name] because you're gonna love her,MM,introduction,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she just turned 18 and I'm already mesmerized 🥹,MM,just turned 18,Antonella,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
